id,activity
76,1
76,6
166,1
166,8
166,6
177,1
177,8
177,6
182,1
182,8
182,6
196,1
196,8
196,6
228,1
228,8
228,6
231,1
231,1
231,8
231,6
247,3
247,8
247,6
271,3
271,1
271,1
271,8
271,6
272,1
272,8
272,9
272,6
278,1
278,9
278,8
278,9
278,8
278,6
330,1
330,1
330,8
330,6
330,6
339,1
339,8
339,9
339,6
341,1
341,6
365,1
365,8
365,9
365,8
365,6
381,1
381,8
381,6
388,1
388,9
388,8
388,6
477,1
477,8
477,6
518,1
518,8
518,6
518,8
518,6
540,1
540,8
540,6
560,1
560,8
560,6
562,1
562,8
562,6
563,1
563,8
563,6
581,1
581,8
581,9
581,6
627,1
627,8
627,6
641,8
641,6
668,1
668,8
668,6
774,1
774,1
774,8
774,6
793,1
793,8
793,6
814,1
814,8
814,6
844,1
844,8
844,6
873,1
873,8
873,6
925,1
925,8
925,6
974,1
974,1
974,8
974,6
997,1
997,8
997,6
1028,1
1028,8
1028,6
1097,1
1097,8
1097,2
1097,6
1097,8
1097,6
1162,1
1162,8
1162,6
1196,1
1196,8
1196,6
1270,1
1270,8
1270,9
1270,8
1270,6
1280,1
1280,8
1280,6
1316,1
1316,8
1316,6
1331,1
1331,8
1331,6
1334,1
1334,1
1334,8
1334,9
1334,6
1368,1
1368,6
1374,1
1374,8
1374,9
1374,6
1394,1
1394,8
1394,6
1408,1
1408,8
1408,6
1408,6
1419,1
1419,8
1419,9
1419,6
1453,1
1453,8
1453,6
1453,6
1512,1
1512,8
1512,6
1541,1
1541,1
1541,8
1541,6
1584,1
1584,8
1584,6
1593,1
1593,8
1593,6
1626,1
1626,8
1626,6
1660,1
1660,8
1660,6
1662,1
1662,1
1662,8
1662,6
1667,1
1667,8
1667,6
1745,8
1745,6
1797,1
1797,8
1797,6
1851,1
1851,8
1851,6
1851,6
1897,1
1897,8
1897,6
1897,8
1897,6
1923,1
1923,8
1923,6
1928,1
1928,8
1928,6
1940,1
1940,8
1940,6
1964,1
1964,8
1964,6
1964,8
1964,6
2020,1
2020,8
2020,6
2027,1
2027,8
2027,9
2027,6
2039,1
2039,8
2039,6
2073,1
2073,8
2073,9
2073,6
2138,1
2138,8
2138,6
2186,1
2186,8
2186,6
2254,1
2254,8
2254,6
2286,1
2286,8
2286,6
2303,1
2303,8
2303,6
2305,1
2305,8
2305,6
2311,1
2311,8
2311,9
2311,8
2311,6
2323,1
2323,8
2323,6
2373,1
2373,1
2373,8
2373,9
2373,8
2373,6
2388,1
2388,8
2388,6
2390,1
2390,8
2390,6
2406,1
2406,6
2457,1
2457,8
2457,6
2483,1
2483,8
2483,6
2483,8
2483,6
2491,1
2491,8
2491,6
2534,1
2534,8
2534,6
2565,1
2565,8
2565,6
2580,1
2580,8
2580,6
2587,1
2587,8
2587,6
2594,1
2594,1
2594,8
2594,6
2604,1
2604,8
2604,6
2615,1
2615,8
2615,6
2619,1
2619,8
2619,9
2619,8
2619,6
2632,1
2632,8
2632,6
2654,1
2654,8
2654,6
2670,1
2670,8
2670,6
2692,1
2692,8
2692,6
2719,1
2719,8
2719,9
2719,6
2725,1
2725,8
2725,9
2725,8
2725,6
2738,1
2738,8
2738,6
2738,6
2757,1
2757,8
2757,6
2769,1
2769,8
2769,6
