id,activity
10,1
10,8
10,6
101,3
101,1
101,8
101,6
103,1
103,1
103,8
103,9
103,8
103,2
103,6
1000,1
1000,1
1000,8
1000,6
1009,1
1009,8
1009,9
1009,6
1013,1
1013,6
1014,1
1014,8
1014,9
1014,8
1014,6
1017,1
1017,8
1017,9
1017,6
1017,6
1030,1
1030,1
1030,8
1030,2
1030,6
1035,1
1035,1
1035,8
1035,9
1035,8
1035,6
1044,1
1044,8
1044,6
1044,8
1044,9
1044,8
1044,6
1047,1
1047,1
1047,8
1047,9
1047,6
1049,1
1049,8
1049,6
1049,6
1050,1
1050,8
1050,9
1050,8
1050,6
1050,8
1050,9
1050,8
1050,6
1062,8
1062,9
1062,6
1080,3
1080,1
1080,8
1080,9
1080,8
1080,6
1085,1
1085,8
1085,7
1085,8
1085,9
1085,8
1085,6
1095,1
1095,1
1095,6
1097,1
1097,8
1097,2
1097,6
1097,8
1097,6
1105,1
1105,1
1105,1
1105,8
1105,6
1105,6
1112,1
1112,8
1112,9
1112,9
1112,6
1114,1
1114,8
1114,9
1114,8
1114,8
1114,9
1114,8
1114,9
1114,8
1114,6
1126,1
1126,6
1126,6
1135,1
1135,8
1135,4
1135,6
1141,1
1141,8
1141,9
1141,8
1141,9
1141,8
1141,9
1141,8
1141,9
1141,8
1141,6
1154,1
1154,9
1154,8
1154,6
1154,6
1173,1
1173,8
1173,9
1173,8
1173,2
1173,6
1173,8
1173,6
1175,1
1175,8
1175,6
1175,8
1175,6
1192,8
1192,6
1204,1
1204,8
1204,9
1204,8
1204,6
1204,8
1204,6
1214,1
1214,8
1214,8
1214,6
1227,1
1227,8
1227,9
1227,8
1227,9
1227,8
1227,6
1245,1
1245,8
1245,9
1245,8
1245,6
1245,8
1245,9
1245,8
1245,2
1245,6
1245,8
1245,6
1282,3
1282,1
1282,1
1282,8
1282,9
1282,8
1282,6
1288,8
1288,6
1288,8
1288,9
1288,8
1288,6
1327,1
1327,9
1327,6
1339,1
1339,1
1339,8
1339,9
1339,8
1339,9
1339,6
1345,1
1345,8
1345,9
1345,8
1345,2
1345,6
1353,1
1353,8
1353,9
1353,9
1353,8
1353,6
1365,3
1365,8
1365,6
1369,3
1369,1
1369,1
1369,8
1369,9
1369,6
1428,1
1428,8
1428,9
1428,9
1428,8
1428,6
1428,6
1428,6
1436,1
1436,8
1436,9
1436,8
1436,9
1436,8
1436,9
1436,8
1436,6
1442,1
1442,1
1442,1
1442,8
1442,6
1446,1
1446,1
1446,1
1446,8
1446,6
1446,8
1446,9
1446,8
1446,6
1456,1
1456,8
1456,8
1456,8
1456,6
1496,1
1496,1
1496,8
1496,6
1496,8
1496,6
