id,activity
5,pay expenses
72,calculate payments
72,pay expenses
131,pay expenses
183,pay expenses
186,pay expenses
274,check if expense documents exist
274,file travel expense report
274,confirm travel expense report
274,decide on travel expense approval
274,send original documents to archive
274,calculate payments
274,pay expenses
279,check if expense documents exist
279,upload travel expense documents
279,file travel expense report
279,confirm travel expense report
279,decide on travel expense approval
279,send request for travel expense correction
279,correct travel expense report
279,decide on travel expense approval
279,send original documents to archive
279,calculate payments
279,pay expenses
303,pay expenses
304,check if expense documents exist
304,file travel expense report
304,confirm travel expense report
304,decide on travel expense approval
304,send request for travel expense correction
304,correct travel expense report
304,decide on travel expense approval
304,send request for travel expense correction
304,correct travel expense report
304,decide on travel expense approval
304,send original documents to archive
304,calculate payments
304,pay expenses
324,check if expense documents exist
324,upload travel expense documents
324,file travel expense report
324,confirm travel expense report
324,decide on travel expense approval
324,send original documents to archive
324,calculate payments
324,pay expenses
326,check if expense documents exist
326,upload travel expense documents
326,file travel expense report
326,confirm travel expense report
326,decide on travel expense approval
326,send original documents to archive
326,calculate payments
326,pay expenses
336,check if expense documents exist
336,upload travel expense documents
336,file travel expense report
336,confirm travel expense report
336,decide on travel expense approval
336,send original documents to archive
336,calculate payments
336,pay expenses
342,pay expenses
352,upload travel expense documents
352,file travel expense report
352,confirm travel expense report
352,decide on travel expense approval
352,send original documents to archive
352,calculate payments
352,pay expenses
365,check if expense documents exist
365,upload travel expense documents
365,file travel expense report
365,confirm travel expense report
365,decide on travel expense approval
365,send request for travel expense correction
365,correct travel expense report
365,decide on travel expense approval
365,send request for travel expense correction
365,correct travel expense report
365,decide on travel expense approval
365,send original documents to archive
365,calculate payments
365,pay expenses
386,decide on travel expense approval
386,send original documents to archive
386,calculate payments
386,pay expenses
403,send original documents to archive
403,calculate payments
403,pay expenses
407,pay expenses
422,pay expenses
442,check if expense documents exist
442,upload travel expense documents
442,file travel expense report
442,confirm travel expense report
442,decide on travel expense approval
442,send request for travel expense correction
442,correct travel expense report
442,decide on travel expense approval
442,send request for travel expense correction
442,correct travel expense report
442,decide on travel expense approval
442,send original documents to archive
442,calculate payments
442,pay expenses
446,calculate payments
446,pay expenses
452,calculate payments
452,pay expenses
458,send original documents to archive
458,calculate payments
458,pay expenses
492,check if expense documents exist
492,upload travel expense documents
492,file travel expense report
492,confirm travel expense report
492,decide on travel expense approval
492,send request for travel expense correction
492,correct travel expense report
492,decide on travel expense approval
492,send original documents to archive
492,calculate payments
492,pay expenses
515,check if expense documents exist
515,upload travel expense documents
515,file travel expense report
515,confirm travel expense report
515,decide on travel expense approval
515,send original documents to archive
515,calculate payments
515,pay expenses
549,calculate payments
549,pay expenses
566,check if expense documents exist
566,upload travel expense documents
566,file travel expense report
566,confirm travel expense report
566,decide on travel expense approval
566,send original documents to archive
566,calculate payments
566,pay expenses
568,calculate payments
568,pay expenses
580,check if expense documents exist
580,upload travel expense documents
580,file travel expense report
580,confirm travel expense report
580,decide on travel expense approval
580,send original documents to archive
580,calculate payments
580,pay expenses
596,pay expenses
615,upload travel expense documents
615,file travel expense report
615,confirm travel expense report
615,decide on travel expense approval
615,send original documents to archive
615,calculate payments
615,pay expenses
628,check if expense documents exist
628,upload travel expense documents
628,file travel expense report
628,confirm travel expense report
628,decide on travel expense approval
628,send original documents to archive
628,calculate payments
628,pay expenses
629,calculate payments
629,pay expenses
634,check if expense documents exist
634,upload travel expense documents
634,file travel expense report
634,confirm travel expense report
634,decide on travel expense approval
634,send original documents to archive
634,calculate payments
634,pay expenses
643,check if expense documents exist
643,file travel expense report
643,confirm travel expense report
643,decide on travel expense approval
643,send original documents to archive
643,calculate payments
643,pay expenses
686,check if expense documents exist
686,upload travel expense documents
686,file travel expense report
686,confirm travel expense report
686,decide on travel expense approval
686,send request for travel expense correction
686,correct travel expense report
686,decide on travel expense approval
686,send request for travel expense correction
686,correct travel expense report
686,decide on travel expense approval
686,send original documents to archive
686,calculate payments
686,pay expenses
687,calculate payments
687,pay expenses
702,check if expense documents exist
702,upload travel expense documents
702,file travel expense report
702,confirm travel expense report
702,decide on travel expense approval
702,send original documents to archive
702,calculate payments
702,pay expenses
726,pay expenses
759,check if expense documents exist
759,file travel expense report
759,confirm travel expense report
759,decide on travel expense approval
759,send original documents to archive
759,calculate payments
759,pay expenses
815,check if expense documents exist
815,file travel expense report
815,confirm travel expense report
815,decide on travel expense approval
815,send original documents to archive
815,calculate payments
815,pay expenses
820,check if expense documents exist
820,upload travel expense documents
820,file travel expense report
820,confirm travel expense report
820,decide on travel expense approval
820,send original documents to archive
820,calculate payments
820,pay expenses
828,check if expense documents exist
828,upload travel expense documents
828,file travel expense report
828,confirm travel expense report
828,decide on travel expense approval
828,send original documents to archive
828,calculate payments
828,pay expenses
853,check if expense documents exist
853,upload travel expense documents
853,file travel expense report
853,confirm travel expense report
853,decide on travel expense approval
853,send original documents to archive
853,calculate payments
853,pay expenses
860,check if expense documents exist
860,upload travel expense documents
860,file travel expense report
860,confirm travel expense report
860,decide on travel expense approval
860,send original documents to archive
860,calculate payments
860,pay expenses
861,check if expense documents exist
861,upload travel expense documents
861,file travel expense report
861,confirm travel expense report
861,decide on travel expense approval
861,send original documents to archive
861,calculate payments
861,pay expenses
894,check if expense documents exist
894,upload travel expense documents
894,file travel expense report
894,confirm travel expense report
894,decide on travel expense approval
894,send original documents to archive
894,calculate payments
894,pay expenses
906,check if expense documents exist
906,file travel expense report
906,confirm travel expense report
906,decide on travel expense approval
906,send original documents to archive
906,calculate payments
906,pay expenses
967,send original documents to archive
967,calculate payments
967,pay expenses
968,check if expense documents exist
968,upload travel expense documents
968,file travel expense report
968,confirm travel expense report
968,decide on travel expense approval
968,send original documents to archive
968,calculate payments
968,pay expenses
969,check if expense documents exist
969,upload travel expense documents
969,file travel expense report
969,confirm travel expense report
969,decide on travel expense approval
969,send request for travel expense correction
969,correct travel expense report
969,decide on travel expense approval
969,send request for travel expense correction
969,correct travel expense report
969,decide on travel expense approval
969,send original documents to archive
969,calculate payments
969,pay expenses
976,check if expense documents exist
976,file travel expense report
976,confirm travel expense report
976,decide on travel expense approval
976,send request for travel expense correction
976,correct travel expense report
976,decide on travel expense approval
976,send original documents to archive
976,calculate payments
976,pay expenses
983,check if expense documents exist
983,upload travel expense documents
983,file travel expense report
983,confirm travel expense report
983,decide on travel expense approval
983,send original documents to archive
983,calculate payments
983,pay expenses
1003,check if expense documents exist
1003,upload travel expense documents
1003,file travel expense report
1003,confirm travel expense report
1003,decide on travel expense approval
1003,send request for travel expense correction
1003,correct travel expense report
1003,decide on travel expense approval
1003,send original documents to archive
1003,calculate payments
1003,pay expenses
1008,check if expense documents exist
1008,file travel expense report
1008,confirm travel expense report
1008,decide on travel expense approval
1008,send original documents to archive
1008,calculate payments
1008,pay expenses
1010,check if expense documents exist
1010,file travel expense report
1010,confirm travel expense report
1010,decide on travel expense approval
1010,send request for travel expense correction
1010,correct travel expense report
1010,decide on travel expense approval
1010,send original documents to archive
1010,calculate payments
1010,pay expenses
1021,check if expense documents exist
1021,file travel expense report
1021,confirm travel expense report
1021,decide on travel expense approval
1021,send original documents to archive
1021,calculate payments
1021,pay expenses
1052,check if expense documents exist
1052,upload travel expense documents
1052,file travel expense report
1052,confirm travel expense report
1052,decide on travel expense approval
1052,send request for travel expense correction
1052,correct travel expense report
1052,decide on travel expense approval
1052,send original documents to archive
1052,calculate payments
1052,pay expenses
1057,check if expense documents exist
1057,upload travel expense documents
1057,file travel expense report
1057,confirm travel expense report
1057,decide on travel expense approval
1057,send request for travel expense correction
1057,correct travel expense report
1057,decide on travel expense approval
1057,send original documents to archive
1057,calculate payments
1057,pay expenses
1077,check if expense documents exist
1077,upload travel expense documents
1077,file travel expense report
1077,confirm travel expense report
1077,decide on travel expense approval
1077,send original documents to archive
1077,calculate payments
1077,pay expenses
1101,check if expense documents exist
1101,upload travel expense documents
1101,file travel expense report
1101,confirm travel expense report
1101,decide on travel expense approval
1101,send original documents to archive
1101,calculate payments
1101,pay expenses
1128,check if expense documents exist
1128,upload travel expense documents
1128,file travel expense report
1128,confirm travel expense report
1128,decide on travel expense approval
1128,send original documents to archive
1128,calculate payments
1128,pay expenses
1160,check if expense documents exist
1160,file travel expense report
1160,confirm travel expense report
1160,decide on travel expense approval
1160,send original documents to archive
1160,calculate payments
1160,pay expenses
1173,check if expense documents exist
1173,upload travel expense documents
1173,file travel expense report
1173,confirm travel expense report
1173,decide on travel expense approval
1173,send original documents to archive
1173,calculate payments
1173,pay expenses
1199,check if expense documents exist
1199,upload travel expense documents
1199,file travel expense report
1199,confirm travel expense report
1199,decide on travel expense approval
1199,send request for travel expense correction
1199,correct travel expense report
1199,decide on travel expense approval
1199,send original documents to archive
1199,calculate payments
1199,pay expenses
1269,request update of the booking proposal
