id,activity
1,pay expenses
20,calculate payments
20,pay expenses
69,decide on travel expense approval
69,send original documents to archive
69,calculate payments
69,pay expenses
80,check if expense documents exist
80,file travel expense report
80,confirm travel expense report
80,decide on travel expense approval
80,send original documents to archive
80,calculate payments
80,pay expenses
83,pay expenses
88,calculate payments
88,pay expenses
91,check if expense documents exist
91,file travel expense report
91,confirm travel expense report
91,decide on travel expense approval
91,send request for travel expense correction
91,correct travel expense report
91,decide on travel expense approval
91,send original documents to archive
91,calculate payments
91,pay expenses
345,calculate payments
345,pay expenses
362,pay expenses
425,check if expense documents exist
425,file travel expense report
425,confirm travel expense report
425,decide on travel expense approval
425,send request for travel expense correction
425,correct travel expense report
425,decide on travel expense approval
425,send request for travel expense correction
425,correct travel expense report
425,decide on travel expense approval
425,send original documents to archive
425,calculate payments
425,pay expenses
446,calculate payments
446,pay expenses
490,calculate payments
490,pay expenses
522,calculate payments
522,pay expenses
526,check if expense documents exist
526,upload travel expense documents
526,file travel expense report
526,confirm travel expense report
526,decide on travel expense approval
526,send request for travel expense correction
526,correct travel expense report
526,decide on travel expense approval
526,send request for travel expense correction
526,correct travel expense report
526,decide on travel expense approval
526,send original documents to archive
526,calculate payments
526,pay expenses
549,calculate payments
549,pay expenses
550,calculate payments
550,pay expenses
646,calculate payments
646,pay expenses
671,calculate payments
671,pay expenses
681,calculate payments
681,pay expenses
690,decide on travel expense approval
690,send request for travel expense correction
690,correct travel expense report
690,decide on travel expense approval
690,send original documents to archive
690,calculate payments
690,pay expenses
698,check if expense documents exist
698,upload travel expense documents
698,file travel expense report
698,confirm travel expense report
698,decide on travel expense approval
698,send original documents to archive
698,calculate payments
698,pay expenses
707,check if expense documents exist
707,upload travel expense documents
707,file travel expense report
707,confirm travel expense report
707,decide on travel expense approval
707,send original documents to archive
707,calculate payments
707,pay expenses
734,calculate payments
734,pay expenses
744,pay expenses
751,check if expense documents exist
751,upload travel expense documents
751,file travel expense report
751,confirm travel expense report
751,decide on travel expense approval
751,send original documents to archive
751,calculate payments
751,pay expenses
872,check if expense documents exist
872,upload travel expense documents
872,file travel expense report
872,confirm travel expense report
872,decide on travel expense approval
872,send original documents to archive
872,calculate payments
872,pay expenses
983,check if expense documents exist
983,upload travel expense documents
983,file travel expense report
983,confirm travel expense report
983,decide on travel expense approval
983,send original documents to archive
983,calculate payments
983,pay expenses
988,check if expense documents exist
988,upload travel expense documents
988,file travel expense report
988,confirm travel expense report
988,decide on travel expense approval
988,send request for travel expense correction
988,correct travel expense report
988,decide on travel expense approval
988,send request for travel expense correction
988,correct travel expense report
988,decide on travel expense approval
988,send original documents to archive
988,calculate payments
988,pay expenses
1033,check if expense documents exist
1033,file travel expense report
1033,confirm travel expense report
1033,decide on travel expense approval
1033,send original documents to archive
1033,calculate payments
1033,pay expenses
1071,check if expense documents exist
1071,upload travel expense documents
1071,file travel expense report
1071,confirm travel expense report
1071,decide on travel expense approval
1071,send request for travel expense correction
1071,correct travel expense report
1071,decide on travel expense approval
1071,send request for travel expense correction
1071,correct travel expense report
1071,decide on travel expense approval
1071,send original documents to archive
1071,calculate payments
1071,pay expenses
1105,check if expense documents exist
1105,upload travel expense documents
1105,file travel expense report
1105,confirm travel expense report
1105,decide on travel expense approval
1105,send original documents to archive
1105,calculate payments
1105,pay expenses
1109,check if expense documents exist
1109,upload travel expense documents
1109,file travel expense report
1109,confirm travel expense report
1109,decide on travel expense approval
