id,activity
10,1
10,8
10,6
29,1
29,8
29,6
38,1
38,8
38,6
40,1
40,8
40,6
42,1
42,8
42,6
68,1
68,8
68,6
70,1
70,8
70,9
70,6
86,1
86,8
86,9
86,6
104,1
104,8
104,6
116,1
116,8
116,6
137,1
137,8
137,9
137,6
155,1
155,8
155,9
155,8
155,6
160,1
160,8
160,6
164,1
164,8
164,6
165,1
165,6
174,1
174,8
174,9
174,6
189,1
189,1
189,8
189,6
206,1
206,8
206,9
206,8
206,6
211,1
211,6
226,1
226,8
226,6
227,1
227,8
227,6
240,1
240,8
240,6
243,1
243,8
243,6
244,1
244,8
244,6
245,1
245,8
245,6
273,1
273,8
273,6
274,1
274,8
274,6
278,1
278,9
278,8
278,9
278,8
278,6
284,1
284,8
284,6
288,1
288,8
288,6
302,1
302,8
302,6
310,1
310,8
310,9
310,6
316,1
316,1
316,8
316,6
318,1
318,8
318,6
355,1
355,1
355,8
355,6
359,1
359,8
359,6
372,1
372,8
372,6
373,1
373,8
373,6
381,1
381,8
381,6
396,1
396,1
396,8
396,6
420,1
420,8
420,6
440,1
440,8
440,6
443,1
443,1
443,8
443,6
452,1
452,8
452,6
455,1
455,8
455,9
455,8
455,6
469,1
469,8
469,9
469,8
469,6
508,1
508,8
508,9
508,6
514,1
514,8
514,6
514,6
518,1
518,8
518,6
518,8
518,6
519,1
519,8
519,6
543,1
543,8
543,6
544,1
544,8
544,6
555,1
555,8
555,6
563,1
563,8
563,6
574,8
574,6
577,1
577,8
577,8
577,6
605,1
605,8
605,6
612,3
612,1
612,8
612,6
615,1
615,8
615,6
616,1
616,8
616,6
620,1
620,8
620,9
620,8
620,6
654,1
654,8
654,6
677,1
677,9
677,8
677,6
678,1
678,8
678,9
678,8
678,6
686,1
686,8
686,6
689,1
689,8
689,6
720,1
720,8
720,6
737,1
737,8
737,6
755,1
755,8
755,6
769,1
769,8
769,6
776,1
776,8
776,6
783,1
783,8
783,6
798,1
798,1
798,1
798,8
798,9
798,8
798,9
798,8
798,6
813,1
813,8
813,6
819,1
819,8
819,6
822,1
822,8
822,6
832,1
832,8
832,6
835,1
835,1
835,8
835,6
848,1
848,8
848,6
851,1
851,8
851,6
880,1
880,8
880,6
884,1
884,8
884,6
890,1
890,8
890,9
890,9
890,8
890,9
890,8
890,6
898,1
898,8
898,9
898,6
903,3
903,1
903,8
903,6
919,1
919,8
919,9
919,8
919,6
936,1
936,8
936,9
936,8
936,6
940,1
940,8
940,6
978,1
978,1
978,8
978,6
1003,1
1003,8
1003,6
1020,1
1020,8
1020,9
1020,6
1033,1
1033,8
1033,9
1033,6
1036,1
1036,8
1036,9
1036,8
1036,6
1045,1
1045,8
1045,6
1060,1
1060,8
1060,6
1065,1
1065,6
1072,1
1072,1
1072,8
1072,6
1076,1
1076,8
1076,9
1076,6
1084,1
1084,8
1084,6
1114,1
1114,8
1114,9
1114,8
1114,8
1114,9
1114,8
1114,9
1114,8
1114,6
1139,1
1139,8
1139,6
1152,1
1152,8
1152,6
1160,1
1160,8
1160,6
1165,1
1165,8
1165,6
1172,1
1172,8
1172,9
1172,6
1198,1
1198,6
1198,6
1202,1
1202,1
1202,8
1202,6
1214,1
1214,8
1214,8
1214,6
1220,1
1220,8
1220,6
1229,1
1229,8
1229,6
1240,1
1240,8
1240,6
1241,1
1241,8
1241,6
1244,1
1244,8
1244,6
1260,1
1260,8
1260,6
1282,3
1282,1
1282,1
1282,8
1282,9
1282,8
1282,6
1291,1
1291,8
1291,6
1307,1
1307,8
1307,9
1307,8
1307,6
1310,1
1310,8
1310,9
1310,8
1310,6
1329,1
1329,8
1329,6
1340,1
1340,8
1340,6
1350,1
1350,8
1350,9
1350,6
1352,1
1352,8
1352,6
1353,1
1353,8
1353,9
1353,9
1353,8
1353,6
1354,1
1354,8
1354,9
1354,6
1367,1
1367,8
1367,6
1379,1
1379,8
1379,6
1380,1
1380,8
1380,9
1380,6
1395,1
1395,1
1395,8
1395,6
1401,1
1401,8
1401,9
1401,6
1404,1
1404,8
1404,6
1405,1
1405,8
1405,6
1434,1
1434,8
1434,6
1437,1
1437,8
1437,6
1440,1
1440,8
1440,6
1456,1
1456,8
1456,8
1456,8
1456,6
1466,1
1466,8
1466,6
1482,1
1482,8
1482,6
1483,1
1483,8
1483,6
1521,1
1521,8
1521,6
1529,1
1529,8
1529,6
1532,1
1532,8
1532,6
1534,1
1534,8
1534,6
1540,1
1540,1
1540,8
1540,9
1540,8
1540,6
1547,1
1547,8
1547,6
1560,1
1560,8
1560,6
1561,1
1561,8
1561,6
1575,1
1575,8
1575,9
1575,8
1575,6
1575,8
1575,6
1624,1
1624,8
1624,6
1636,1
1636,8
1636,6
1639,1
1639,8
1639,6
1661,1
1661,8
1661,6
1668,1
1668,8
1668,6
1695,1
1695,8
1695,6
1701,1
1701,1
1701,8
1701,6
1714,3
1714,1
1714,8
1714,6
1714,8
1714,9
1714,8
1714,6
1738,1
1738,6
1753,1
1753,8
1753,6
1757,1
1757,8
1757,6
1757,8
1757,2
1757,6
1763,1
1763,8
1763,6
1791,1
1791,8
1791,6
1800,1
1800,8
1800,6
1827,1
1827,8
1827,6
1845,1
1845,8
1845,8
1845,8
1845,6
1872,1
1872,8
1872,6
1878,1
1878,8
1878,6
1891,1
1891,8
1891,6
1904,1
1904,8
1904,6
1905,1
1905,8
1905,6
1920,1
1920,8
1920,6
1934,1
1934,8
1934,6
1936,1
1936,1
1936,8
1936,9
1936,8
1936,6
1951,1
1951,8
1951,6
1984,1
1984,6
1986,1
1986,8
1986,6
1995,1
1995,8
1995,9
1995,6
2009,1
2009,8
2009,6
2010,1
2010,8
2010,6
2010,8
2010,9
2010,8
2010,9
2010,8
2010,9
2010,6
2023,1
2023,6
2023,6
2032,1
2032,8
2032,6
2038,1
2038,8
2038,6
2039,1
2039,8
2039,6
2069,1
2069,8
2069,6
2078,1
2078,9
2078,8
2078,6
2086,1
2086,1
2086,8
2086,6
2118,1
2118,8
2118,6
2120,1
2120,8
2120,8
2120,6
2132,1
2132,8
2132,9
2132,8
2132,6
2139,1
2139,8
2139,4
2139,8
2139,9
2139,6
2149,1
2149,8
2149,6
2149,8
2149,6
2159,3
2159,1
2159,1
2159,1
2159,8
2159,6
2179,1
2179,8
2179,6
2192,1
2192,8
2192,6
2206,1
2206,1
2206,1
2206,8
2206,6
2223,1
2223,8
2223,6
2243,1
2243,8
2243,6
2250,1
2250,9
2250,6
2251,1
2251,8
2251,6
2256,1
2256,6
2257,1
2257,8
2257,6
2274,1
2274,8
2274,6
2289,1
2289,8
2289,6
2299,1
2299,8
2299,6
2307,1
2307,8
2307,6
2316,1
2316,1
2316,8
2316,6
2320,1
2320,8
2320,6
2329,1
2329,8
2329,6
2339,1
2339,8
2339,6
2349,1
2349,8
2349,6
2349,8
2349,6
2351,1
2351,6
2354,1
2354,1
2354,8
2354,6
2369,1
2369,8
2369,6
2380,1
2380,8
2380,9
2380,8
2380,6
2413,1
2413,8
2413,6
2414,1
2414,8
2414,9
2414,8
2414,6
2415,1
2415,8
2415,6
2433,1
2433,6
2464,3
2464,1
2464,8
2464,6
2470,1
2470,8
2470,9
2470,8
2470,6
2496,1
2496,8
2496,6
2507,1
2507,8
2507,6
2539,1
2539,8
2539,6
2540,1
2540,8
2540,6
2545,1
2545,8
2545,6
2548,1
2548,8
2548,6
2563,1
2563,8
2563,6
2570,1
2570,8
2570,6
2572,1
2572,8
2572,2
2572,8
2572,9
2572,6
2592,1
2592,8
2592,6
2601,1
2601,8
2601,6
2604,1
2604,8
2604,6
2629,1
2629,8
2629,6
2638,1
2638,8
2638,2
2638,6
2646,1
2646,8
2646,6
2656,1
2656,8
2656,6
2675,1
2675,8
2675,6
2682,1
2682,8
2682,6
2705,1
2705,8
2705,6
2711,1
2711,8
2711,6
2717,1
2717,8
2717,6
2726,1
2726,8
2726,9
2726,8
2726,6
2733,1
2733,8
2733,6
2736,1
2736,8
2736,9
2736,8
2736,6
2757,1
2757,8
2757,6
2769,1
2769,8
2769,6
2772,1
2772,8
2772,6
2775,1
2775,1
2775,6
2778,1
2778,1
2778,8
2778,6
2835,1
2835,8
2835,9
2835,8
2835,6
2836,1
2836,8
2836,6
2855,1
2855,8
2855,6
2862,1
2862,8
2862,6
2868,1
2868,6
2875,1
2875,8
2875,9
2875,6
2879,1
2879,8
2879,6
2929,1
2929,8
2929,6
2941,1
2941,8
2941,6
2965,1
2965,8
2965,6
2965,6
2990,1
2990,8
2990,6
2993,1
2993,8
2993,9
2993,8
2993,6
2998,1
2998,8
2998,6
3062,1
3062,8
3062,6
3062,6
3084,1
3084,1
3084,8
3084,6
3094,1
3094,8
3094,6
3116,1
3116,8
3116,6
3120,1
3120,8
3120,6
3122,1
3122,8
3122,9
3122,6
3157,1
3157,8
3157,9
3157,6
3174,1
3174,8
3174,6
3208,1
3208,8
3208,6
3220,1
3220,8
3220,6
3241,1
3241,8
3241,6
3249,1
3249,8
3249,4
3249,4
3249,8
3249,6
3249,6
3259,1
3259,8
3259,6
3293,1
3293,6
3293,6
3304,1
3304,8
3304,9
3304,8
3304,6
3322,1
3322,8
3322,9
3322,8
3322,6
3325,1
3325,8
3325,2
3325,8
3325,9
3325,6
3329,1
3329,8
3329,6
3365,1
3365,8
3365,6
3371,1
3371,8
3371,9
3371,6
3381,1
3381,8
3381,6
3397,1
3397,8
3397,6
3410,1
3410,8
3410,2
3410,6
3411,1
3411,8
3411,6
3425,1
3425,8
3425,6
3432,1
3432,8
3432,9
3432,6
3437,1
3437,8
3437,6
3452,1
3452,8
3452,6
3461,1
3461,8
3461,6
3471,1
3471,8
3471,6
3479,1
3479,8
3479,9
3479,8
3479,6
3482,1
3482,1
3482,8
3482,9
3482,8
3482,6
3504,1
3504,1
3504,8
3504,9
3504,8
3504,6
3511,1
3511,8
3511,6
3527,1
3527,8
3527,6
3527,8
3527,6
3531,1
3531,8
3531,9
3531,6
3560,1
3560,8
3560,6
3580,1
3580,8
3580,6
3580,8
3580,6
3588,1
3588,8
3588,6
3597,1
3597,8
3597,6
3602,1
3602,8
3602,6
3661,1
3661,8
3661,6
3709,1
3709,8
3709,6
3710,1
3710,1
3710,8
3710,6
3730,1
3730,8
3730,6
3744,1
3744,8
3744,9
3744,9
3744,8
3744,6
3747,1
3747,8
3747,6
3758,1
3758,8
3758,6
3760,1
3760,6
3777,1
3777,8
3777,6
3781,8
3781,6
3804,1
3804,8
3804,9
3804,8
3804,9
3804,6
3875,1
3875,8
3875,9
3875,6
3879,1
3879,8
3879,6
3901,3
3901,1
3901,8
3901,6
3915,1
3915,8
3915,6
3921,1
3921,8
3921,6
3923,1
3923,8
3923,6
3947,1
3947,1
3947,8
3947,6
3958,1
3958,8
3958,6
3958,8
3958,6
3967,1
3967,8
3967,6
3984,1
3984,8
3984,6
3998,1
3998,8
3998,6
4007,1
4007,8
4007,9
4007,6
4021,1
4021,8
4021,6
4048,1
4048,8
4048,6
4059,1
4059,1
4059,8
4059,9
4059,8
4059,6
4065,1
4065,1
4065,8
4065,6
4075,3
4075,1
4075,8
4075,6
4085,1
4085,1
4085,6
4086,1
4086,8
4086,9
4086,6
4109,1
4109,8
4109,6
4128,3
4128,1
4128,8
4128,9
4128,8
4128,9
4128,8
4128,6
4133,1
4133,8
4133,6
4146,1
4146,8
4146,6
4158,1
4158,8
4158,6
4159,1
4159,8
4159,6
4167,1
4167,8
4167,6
4181,1
4181,8
4181,9
4181,8
4181,6
4190,1
4190,8
4190,6
4202,1
4202,8
4202,6
4211,1
4211,8
4211,6
4230,1
4230,8
4230,9
4230,6
4235,1
4235,6
4242,9
4242,6
4243,3
4243,1
4243,8
4243,6
4270,1
4270,8
4270,6
4275,1
4275,8
4275,9
4275,8
4275,6
4278,1
4278,8
4278,6
4278,6
4317,1
4317,6
4317,6
4323,1
4323,8
4323,9
4323,6
4328,1
4328,8
4328,6
4336,1
4336,8
4336,9
4336,8
4336,6
4341,1
4341,8
4341,6
4359,1
4359,8
4359,9
4359,6
4375,3
4375,1
4375,8
4375,6
4375,8
4375,9
4375,8
4375,6
4376,1
4376,8
4376,6
4388,1
4388,6
4451,1
4451,8
4451,6
4453,1
4453,8
4453,9
4453,8
4453,6
4459,1
4459,8
4459,9
4459,6
4460,1
4460,8
4460,6
4466,1
4466,9
4466,6
4486,1
4486,8
4486,6
4489,1
4489,8
4489,6
4490,1
4490,8
4490,9
4490,8
4490,6
4493,1
4493,6
4493,6
4504,1
4504,8
4504,6
4515,1
4515,8
4515,6
4520,1
4520,8
4520,6
4521,1
4521,8
4521,6
4524,1
4524,8
4524,6
4529,1
4529,8
4529,6
4547,1
4547,8
4547,6
4554,1
4554,8
4554,9
4554,8
4554,9
4554,6
4556,1
4556,8
4556,6
4557,1
4557,8
4557,6
4570,1
4570,8
4570,6
4570,6
4573,1
4573,8
4573,9
4573,8
4573,6
4579,1
4579,8
4579,6
