id,activity
2,1
2,8
2,6
5,1
5,8
5,6
5,8
5,6
8,1
8,8
8,6
9,3
9,1
9,8
9,6
14,1
14,8
14,6
16,1
16,8
16,8
16,6
21,1
21,8
21,6
26,1
26,8
26,9
26,8
26,6
27,1
27,8
27,6
38,1
38,8
38,6
44,1
44,8
44,6
47,1
47,8
47,6
50,1
50,8
50,6
50,6
51,1
51,8
51,9
51,6
53,1
53,8
53,9
53,9
53,8
53,6
55,1
55,8
55,9
55,6
56,1
56,6
57,1
57,8
57,6
59,1
59,8
59,6
59,6
60,1
60,8
60,9
60,8
60,6
62,1
62,6
64,1
64,1
64,9
64,8
64,9
64,8
64,6
73,1
73,6
75,1
75,1
75,8
75,6
76,1
76,6
78,1
78,8
78,6
81,1
81,8
81,9
81,9
81,8
81,6
84,1
84,8
84,6
85,1
85,8
85,6
86,1
86,8
86,9
86,6
88,1
88,1
88,9
88,8
88,6
92,1
92,8
92,6
93,1
93,8
93,6
96,1
96,8
96,6
96,6
103,1
103,1
103,8
103,9
103,8
103,2
103,6
109,1
109,8
109,9
109,8
109,6
111,1
111,8
111,6
111,8
111,9
111,8
111,6
113,3
113,1
113,8
113,6
116,1
116,8
116,6
123,1
123,8
123,9
123,8
123,6
124,1
124,8
124,6
125,1
125,8
125,9
125,8
125,6
126,1
126,1
126,6
128,1
128,6
128,6
130,3
130,1
130,8
130,6
132,1
132,8
132,9
132,6
133,1
133,1
133,8
133,6
135,1
135,8
135,9
135,8
135,6
135,8
135,6
137,1
137,8
137,9
137,6
141,1
141,8
141,9
141,8
141,9
141,8
141,6
148,1
148,8
148,6
148,6
150,3
150,1
150,8
150,9
150,8
150,6
151,1
151,8
151,6
153,1
153,8
153,6
155,1
155,8
155,9
155,8
155,6
162,1
162,1
162,6
163,1
163,8
163,6
167,1
167,8
167,9
167,6
167,6
170,1
170,8
170,9
170,8
170,9
170,6
173,1
173,1
173,8
173,6
176,1
176,8
176,6
178,1
178,8
178,6
181,1
181,6
185,1
185,8
185,9
185,8
185,6
186,1
186,8
186,9
186,6
187,1
187,8
187,6
195,1
195,8
195,9
195,8
195,9
195,8
195,6
197,1
197,8
197,6
197,6
198,1
198,8
198,6
199,8
199,6
200,1
200,8
200,6
203,1
203,8
203,6
204,1
204,8
204,6
205,1
205,8
205,9
205,8
205,6
206,1
206,8
206,9
206,8
206,6
211,1
211,6
214,1
214,1
214,8
214,6
216,1
216,1
216,8
216,6
218,1
218,8
218,6
218,8
218,9
218,8
218,6
219,8
219,9
219,8
219,6
219,6
223,1
223,8
223,6
223,6
224,1
224,8
224,9
224,6
225,1
225,6
228,1
228,8
228,6
231,1
231,1
231,8
231,6
234,1
234,1
234,8
234,6
238,1
238,8
238,6
240,1
240,8
240,6
242,1
242,8
242,6
244,1
244,8
244,6
245,1
245,8
245,6
247,3
247,8
247,6
248,1
248,6
248,6
252,1
252,8
252,6
252,8
252,6
255,1
255,8
255,6
258,1
258,8
258,9
258,8
258,6
259,1
259,1
259,8
259,6
260,1
260,1
260,8
260,6
266,1
266,6
266,6
269,8
269,6
270,1
270,8
270,9
270,9
270,8
270,6
278,1
278,9
278,8
278,9
278,8
278,6
280,1
280,8
280,9
280,8
280,6
280,8
280,6
281,1
281,1
281,8
281,6
284,1
284,8
284,6
287,1
287,8
287,6
291,1
291,1
291,8
291,6
292,1
292,8
292,6
295,1
295,8
295,6
295,6
298,1
298,8
298,6
301,1
301,8
301,6
301,8
301,9
301,8
301,6
305,1
305,8
305,9
305,6
309,1
309,8
309,6
311,1
311,8
311,6
315,1
315,8
315,9
315,8
315,6
316,1
316,1
316,8
316,6
319,1
319,8
319,9
319,8
319,6
320,1
320,8
320,6
321,1
321,1
321,8
321,9
321,8
321,6
322,1
322,8
322,9
322,8
322,6
324,8
324,6
327,1
327,8
327,6
328,1
328,8
328,6
329,1
329,8
329,6
329,8
329,6
330,1
330,1
330,8
330,6
330,6
334,1
334,8
334,9
334,8
334,6
342,1
342,8
342,6
347,1
347,6
347,6
352,1
352,6
352,6
363,1
363,1
363,8
363,6
365,1
365,8
365,9
365,8
365,6
368,1
368,1
