id,activity
10,1
10,8
10,6
11,1
11,8
11,6
101,3
101,1
101,8
101,6
102,1
102,8
102,6
103,1
103,1
103,8
103,9
103,8
103,2
103,6
104,1
104,8
104,6
108,1
108,8
108,6
109,1
109,8
109,9
109,8
109,6
110,1
110,8
110,6
111,1
111,8
111,6
111,8
111,9
111,8
111,6
112,1
112,8
112,6
113,3
113,1
113,8
113,6
116,1
116,8
116,6
117,1
117,8
117,6
118,1
118,8
118,6
119,1
119,8
119,6
120,1
120,8
120,9
120,6
1000,1
1000,1
1000,8
1000,6
1002,1
1002,8
1002,6
1003,1
1003,8
1003,6
1004,1
1004,8
1004,6
1005,1
1005,8
1005,6
1006,1
1006,8
1006,6
1008,1
1008,8
1008,6
1009,1
1009,8
1009,9
1009,6
1011,3
1011,1
1011,8
1011,6
1012,1
1012,8
1012,6
1013,1
1013,6
1014,1
1014,8
1014,9
1014,8
1014,6
1015,1
1015,8
1015,6
1016,1
1016,8
1016,6
1017,1
1017,8
1017,9
1017,6
1017,6
1018,1
1018,8
1018,6
1020,1
1020,8
1020,9
1020,6
1021,1
1021,8
1021,6
1022,1
1022,1
1022,8
1022,6
1024,1
1024,1
1024,8
1024,6
1025,1
1025,8
1025,9
1025,8
1025,6
1028,1
1028,8
1028,6
1029,1
1029,8
1029,6
1030,1
1030,1
1030,8
1030,2
1030,6
1031,1
1031,8
1031,9
1031,8
1031,6
1032,1
1032,8
1032,9
1032,6
1033,1
1033,8
1033,9
1033,6
1034,1
1034,8
1034,6
1035,1
1035,1
1035,8
1035,9
1035,8
1035,6
1036,1
1036,8
1036,9
1036,8
1036,6
1037,1
1037,8
1037,6
1038,1
1038,8
1038,6
1039,1
1039,8
1039,6
1040,1
1040,8
1040,6
1041,1
1041,8
1041,6
1042,1
1042,8
1042,6
1044,1
1044,8
1044,6
1044,8
1044,9
1044,8
1044,6
1045,1
1045,8
1045,6
1046,1
1046,8
1046,6
1047,1
1047,1
1047,8
1047,9
1047,6
1048,1
1048,8
1048,9
1048,8
1048,6
1049,1
1049,8
1049,6
1049,6
1050,1
1050,8
1050,9
1050,8
1050,6
1050,8
1050,9
1050,8
1050,6
1051,1
1051,8
1051,6
1052,1
1052,8
1052,6
1053,1
1053,1
1053,8
1053,9
1053,6
1055,1
1055,8
1055,6
1056,1
1056,8
1056,6
1058,1
1058,8
1058,9
1058,6
1059,1
1059,8
1059,6
1060,1
1060,8
1060,6
1061,1
1061,1
1061,8
1061,9
1061,6
1062,8
1062,9
1062,6
1063,1
1063,8
1063,6
1064,1
1064,8
1064,6
1065,1
1065,6
1066,1
1066,8
1066,6
1067,1
1067,8
1067,6
1068,1
1068,8
1068,6
1069,1
1069,8
1069,6
1071,1
1071,8
1071,6
1072,1
1072,1
1072,8
1072,6
1073,1
1073,8
1073,6
1074,1
1074,8
1074,9
1074,6
1075,1
1075,8
1075,6
1076,1
1076,8
1076,9
1076,6
1077,1
1077,1
1077,8
1077,6
1078,1
1078,8
1078,6
1078,6
1080,3
1080,1
1080,8
1080,9
1080,8
1080,6
1081,1
1081,8
1081,9
1081,6
1082,1
1082,8
1082,6
1083,1
1083,1
1083,8
1083,6
1084,1
1084,8
1084,6
1085,1
1085,8
1085,7
1085,8
1085,9
1085,8
1085,6
1086,1
1086,8
1086,6
1089,1
1089,8
1089,9
1089,8
1089,6
1090,1
1090,8
1090,6
1090,6
1091,8
1091,9
1091,6
1092,1
1092,6
1093,1
1093,6
1094,1
1094,8
1094,6
1095,1
1095,1
1095,6
1097,1
1097,8
1097,2
1097,6
1097,8
1097,6
1098,1
1098,1
1098,8
1098,6
1099,1
1099,8
1099,6
1100,1
1100,8
1100,9
1100,8
1100,6
1101,1
1101,8
1101,6
1102,1
1102,8
1102,6
1102,6
1103,1
1103,8
1103,6
1105,1
1105,1
1105,1
1105,8
1105,6
1105,6
1106,1
1106,8
1106,6
1107,1
1107,8
1107,6
1108,1
1108,8
1108,6
1112,1
1112,8
1112,9
1112,9
1112,6
1114,1
1114,8
1114,9
1114,8
1114,8
1114,9
1114,8
1114,9
1114,8
1114,6
1115,1
1115,8
1115,6
1116,1
1116,8
1116,6
1117,1
1117,8
1117,6
1118,1
1118,1
1118,8
1118,6
1119,1
1119,8
1119,6
1120,1
1120,8
1120,6
1121,1
1121,8
1121,6
1122,1
1122,8
1122,6
1123,1
1123,8
1123,6
1125,1
1125,8
1125,6
1126,1
1126,6
1126,6
1127,1
1127,8
1127,6
1128,1
1128,8
1128,6
1130,1
1130,8
1130,6
1131,1
1131,8
1131,6
1132,1
1132,8
1132,6
1133,1
1133,8
1133,6
1134,1
1134,8
1134,6
1135,1
1135,8
1135,4
1135,6
1136,1
1136,6
1137,1
1137,8
1137,6
1138,1
1138,8
1138,6
1139,1
1139,8
1139,6
1140,1
1140,8
1140,9
1140,8
1140,6
1141,1
1141,8
1141,9
1141,8
1141,9
1141,8
1141,9
1141,8
1141,9
1141,8
1141,6
1143,1
1143,8
1143,6
1146,1
1146,8
1146,6
1147,1
1147,8
1147,6
1148,1
1148,8
1148,6
1149,1
1149,8
1149,6
1150,1
1150,8
1150,6
1151,1
1151,8
1151,6
1152,1
1152,8
1152,6
1153,1
1153,8
1153,9
1153,6
1154,1
1154,9
1154,8
1154,6
1154,6
1155,1
1155,8
1155,9
1155,8
1155,6
1157,1
1157,8
1157,6
1158,1
1158,1
1158,8
1158,9
1158,8
1158,6
1160,1
1160,8
1160,6
1161,1
1161,8
1161,6
1162,1
1162,8
1162,6
1163,1
1163,6
1165,1
1165,8
1165,6
1166,1
1166,8
1166,6
1167,1
1167,8
1167,9
1167,8
1167,6
1168,1
1168,9
1168,8
1168,6
1168,6
1169,1
1169,6
1170,1
1170,8
1170,6
1171,1
1171,8
1171,6
1172,1
1172,8
1172,9
1172,6
1173,1
1173,8
1173,9
1173,8
1173,2
1173,6
1173,8
1173,6
1174,1
1174,8
1174,6
1175,1
1175,8
1175,6
1175,8
1175,6
1177,1
1177,8
1177,6
1178,1
1178,8
1178,6
1180,1
1180,8
1180,9
1180,8
1180,6
1181,1
1181,8
1181,6
1182,1
1182,8
1182,6
1183,1
1183,8
1183,9
1183,8
1183,6
1184,1
1184,8
1184,6
1185,1
1185,8
1185,6
1186,1
1186,8
1186,6
1187,1
1187,8
1187,6
1188,1
1188,8
1188,6
1189,1
1189,8
1189,9
1189,8
1189,6
1190,1
1190,8
1190,6
1190,6
1191,1
1191,8
1191,9
1191,8
1191,6
1192,8
1192,6
1194,1
1194,1
1194,8
1194,6
1195,1
1195,8
1195,6
1196,1
1196,8
1196,6
1197,1
1197,1
1197,8
1197,9
1197,6
1198,1
1198,6
1198,6
1199,1
1199,8
1199,6
1200,1
1200,8
1200,6
1201,1
1201,8
1201,6
1202,1
1202,1
1202,8
1202,6
1203,1
1203,8
1203,6
1204,1
1204,8
1204,9
1204,8
1204,6
1204,8
1204,6
