id,activity
16,send original documents to archive
16,calculate payments
16,pay expenses
25,send original documents to archive
25,calculate payments
25,pay expenses
66,upload travel expense documents
66,file travel expense report
66,confirm travel expense report
66,decide on travel expense approval
66,send original documents to archive
66,calculate payments
66,pay expenses
87,calculate payments
87,pay expenses
104,pay expenses
121,decide on travel expense approval
121,send request for travel expense correction
121,correct travel expense report
121,decide on travel expense approval
121,send request for travel expense correction
121,correct travel expense report
121,decide on travel expense approval
121,send original documents to archive
121,calculate payments
121,pay expenses
126,check if expense documents exist
126,file travel expense report
126,confirm travel expense report
126,decide on travel expense approval
126,send request for travel expense correction
126,correct travel expense report
126,decide on travel expense approval
126,send request for travel expense correction
126,correct travel expense report
126,decide on travel expense approval
126,send original documents to archive
126,calculate payments
126,pay expenses
143,pay expenses
227,pay expenses
237,check if expense documents exist
237,file travel expense report
237,confirm travel expense report
237,decide on travel expense approval
237,send request for travel expense correction
237,correct travel expense report
237,decide on travel expense approval
237,send original documents to archive
237,calculate payments
237,pay expenses
261,pay expenses
265,check if expense documents exist
265,file travel expense report
265,confirm travel expense report
265,decide on travel expense approval
265,send original documents to archive
265,calculate payments
265,pay expenses
270,pay expenses
336,check if expense documents exist
336,upload travel expense documents
336,file travel expense report
336,confirm travel expense report
336,decide on travel expense approval
336,send original documents to archive
336,calculate payments
336,pay expenses
347,check if expense documents exist
347,upload travel expense documents
347,file travel expense report
347,confirm travel expense report
347,decide on travel expense approval
347,send original documents to archive
347,calculate payments
347,pay expenses
353,check if expense documents exist
353,upload travel expense documents
353,file travel expense report
353,confirm travel expense report
353,decide on travel expense approval
353,send request for travel expense correction
353,correct travel expense report
353,decide on travel expense approval
353,send original documents to archive
353,calculate payments
353,pay expenses
358,calculate payments
358,pay expenses
367,send original documents to archive
367,calculate payments
367,pay expenses
371,decide on travel expense approval
371,send original documents to archive
371,calculate payments
371,pay expenses
393,calculate payments
393,pay expenses
396,check if expense documents exist
396,file travel expense report
396,confirm travel expense report
396,decide on travel expense approval
396,send original documents to archive
396,calculate payments
396,pay expenses
402,check if expense documents exist
402,upload travel expense documents
402,file travel expense report
402,confirm travel expense report
402,decide on travel expense approval
402,send original documents to archive
402,calculate payments
402,pay expenses
422,pay expenses
430,check if expense documents exist
430,upload travel expense documents
430,file travel expense report
430,confirm travel expense report
430,decide on travel expense approval
430,send original documents to archive
430,calculate payments
430,pay expenses
447,send original documents to archive
447,calculate payments
447,pay expenses
452,calculate payments
452,pay expenses
453,calculate payments
453,decide on request
453,pay expenses
456,check if expense documents exist
456,file travel expense report
456,confirm travel expense report
456,decide on travel expense approval
456,send original documents to archive
456,calculate payments
456,pay expenses
464,decide on travel expense approval
464,send original documents to archive
464,calculate payments
464,pay expenses
468,check if expense documents exist
468,file travel expense report
468,confirm travel expense report
468,decide on travel expense approval
468,send original documents to archive
468,calculate payments
468,pay expenses
471,check if expense documents exist
471,upload travel expense documents
471,file travel expense report
471,confirm travel expense report
471,decide on travel expense approval
471,send original documents to archive
471,calculate payments
471,pay expenses
474,send original documents to archive
474,calculate payments
474,pay expenses
504,check if expense documents exist
504,file travel expense report
504,confirm travel expense report
504,decide on travel expense approval
504,send original documents to archive
504,calculate payments
504,pay expenses
528,check if expense documents exist
528,upload travel expense documents
528,file travel expense report
528,confirm travel expense report
528,decide on travel expense approval
528,send original documents to archive
528,calculate payments
528,pay expenses
551,upload travel expense documents
551,file travel expense report
551,confirm travel expense report
551,decide on travel expense approval
551,send original documents to archive
551,calculate payments
551,pay expenses
556,check if expense documents exist
556,upload travel expense documents
556,file travel expense report
556,confirm travel expense report
556,decide on travel expense approval
556,send original documents to archive
556,calculate payments
556,pay expenses
581,check if expense documents exist
581,file travel expense report
581,confirm travel expense report
581,decide on travel expense approval
581,send request for travel expense correction
581,correct travel expense report
581,decide on travel expense approval
581,send original documents to archive
581,calculate payments
581,pay expenses
595,check if expense documents exist
595,file travel expense report
595,confirm travel expense report
595,decide on travel expense approval
595,send original documents to archive
595,calculate payments
595,pay expenses
616,send original documents to archive
616,calculate payments
616,pay expenses
633,check if expense documents exist
633,upload travel expense documents
633,file travel expense report
633,confirm travel expense report
633,decide on travel expense approval
633,send original documents to archive
633,calculate payments
633,pay expenses
645,check if expense documents exist
645,upload travel expense documents
645,file travel expense report
645,confirm travel expense report
645,decide on travel expense approval
645,send original documents to archive
645,calculate payments
645,pay expenses
695,check if expense documents exist
695,upload travel expense documents
695,file travel expense report
695,confirm travel expense report
695,decide on travel expense approval
695,send request for travel expense correction
695,correct travel expense report
695,decide on travel expense approval
695,send original documents to archive
695,calculate payments
695,pay expenses
699,check if expense documents exist
699,upload travel expense documents
699,file travel expense report
699,confirm travel expense report
699,decide on travel expense approval
699,send request for travel expense correction
699,correct travel expense report
699,decide on travel expense approval
699,send original documents to archive
699,calculate payments
699,pay expenses
709,check if expense documents exist
709,upload travel expense documents
709,file travel expense report
709,confirm travel expense report
709,decide on travel expense approval
709,send original documents to archive
709,calculate payments
709,pay expenses
735,check if expense documents exist
735,upload travel expense documents
735,file travel expense report
735,confirm travel expense report
735,decide on travel expense approval
735,send request for travel expense correction
735,correct travel expense report
735,decide on travel expense approval
735,send original documents to archive
735,calculate payments
735,pay expenses
748,upload travel expense documents
748,file travel expense report
748,confirm travel expense report
748,decide on travel expense approval
748,send original documents to archive
748,calculate payments
748,pay expenses
756,upload travel expense documents
756,file travel expense report
756,confirm travel expense report
756,decide on travel expense approval
756,send original documents to archive
756,calculate payments
756,pay expenses
759,check if expense documents exist
759,file travel expense report
759,confirm travel expense report
759,decide on travel expense approval
759,send original documents to archive
759,calculate payments
759,pay expenses
784,check if expense documents exist
784,file travel expense report
784,confirm travel expense report
784,decide on travel expense approval
784,send original documents to archive
784,calculate payments
784,pay expenses
797,check if expense documents exist
797,upload travel expense documents
797,file travel expense report
797,confirm travel expense report
797,decide on travel expense approval
797,send original documents to archive
797,calculate payments
797,pay expenses
813,check if expense documents exist
813,file travel expense report
813,confirm travel expense report
813,decide on travel expense approval
813,send original documents to archive
813,calculate payments
813,pay expenses
829,check if expense documents exist
829,file travel expense report
829,confirm travel expense report
829,decide on travel expense approval
829,send request for travel expense correction
829,correct travel expense report
829,decide on travel expense approval
829,send request for travel expense correction
829,correct travel expense report
829,decide on travel expense approval
829,send original documents to archive
829,calculate payments
829,pay expenses
853,check if expense documents exist
853,upload travel expense documents
853,file travel expense report
853,confirm travel expense report
853,decide on travel expense approval
853,send original documents to archive
853,calculate payments
853,pay expenses
861,check if expense documents exist
861,upload travel expense documents
861,file travel expense report
861,confirm travel expense report
861,decide on travel expense approval
861,send original documents to archive
861,calculate payments
861,pay expenses
873,check if expense documents exist
873,upload travel expense documents
873,file travel expense report
