id,activity
40,decide on travel expense approval
40,send original documents to archive
40,calculate payments
40,pay expenses
108,pay expenses
160,check if expense documents exist
160,upload travel expense documents
160,file travel expense report
160,confirm travel expense report
160,decide on travel expense approval
160,send original documents to archive
160,calculate payments
160,pay expenses
252,pay expenses
298,calculate payments
298,pay expenses
404,pay expenses
816,check if expense documents exist
816,upload travel expense documents
816,file travel expense report
816,confirm travel expense report
816,decide on travel expense approval
816,send request for travel expense correction
816,correct travel expense report
816,decide on travel expense approval
816,send original documents to archive
816,calculate payments
816,pay expenses
885,check if expense documents exist
885,upload travel expense documents
885,file travel expense report
885,confirm travel expense report
885,decide on travel expense approval
885,send request for travel expense correction
885,correct travel expense report
885,decide on travel expense approval
885,send request for travel expense correction
885,correct travel expense report
885,decide on travel expense approval
885,send request for travel expense correction
885,correct travel expense report
885,decide on travel expense approval
885,send request for travel expense correction
885,correct travel expense report
885,decide on travel expense approval
885,send original documents to archive
885,calculate payments
885,pay expenses
887,check if expense documents exist
887,file travel expense report
887,confirm travel expense report
887,decide on travel expense approval
887,send original documents to archive
887,calculate payments
887,pay expenses
987,check if expense documents exist
987,upload travel expense documents
987,file travel expense report
987,confirm travel expense report
987,decide on travel expense approval
987,send original documents to archive
987,calculate payments
987,pay expenses
1009,file travel expense report
1009,confirm travel expense report
1009,decide on travel expense approval
1009,send original documents to archive
1009,calculate payments
1009,pay expenses
1011,check if expense documents exist
1011,file travel expense report
1011,confirm travel expense report
1011,decide on travel expense approval
1011,calculate payments
1011,send original documents to archive
1011,pay expenses
1020,check if expense documents exist
1020,upload travel expense documents
1020,file travel expense report
1020,confirm travel expense report
1020,decide on travel expense approval
1020,send original documents to archive
1020,calculate payments
1020,pay expenses
1113,check booking proposal
1113,transform price inquiry to travel request
1113,decide on approval requirements
1113,check if booking is necessary
1113,prepare booking proposal
1113,send booking proposal to employee
1113,check booking proposal
1113,check if travel request is still needed and up to date
1113,request update of the booking proposal
1113,prepare booking proposal
1113,send booking proposal to employee
1113,check booking proposal
1113,book travel
1113,check if expense documents exist
1113,upload travel expense documents
1113,file travel expense report
1113,confirm travel expense report
1113,decide on travel expense approval
1113,send original documents to archive
1113,calculate payments
1113,pay expenses
1131,prepare booking proposal
1131,send booking proposal to employee
1131,check booking proposal
1131,transform price inquiry to travel request
1131,decide on approval requirements
1131,forward request to approver
1131,decide on request
1131,check if booking is necessary
1131,check if expense documents exist
1131,upload travel expense documents
1131,file travel expense report
1131,confirm travel expense report
1131,decide on travel expense approval
1131,send original documents to archive
1131,calculate payments
1131,pay expenses
1246,check if expense documents exist
1246,file travel expense report
1246,confirm travel expense report
1246,decide on travel expense approval
1246,send original documents to archive
1246,calculate payments
1246,pay expenses
1250,send booking proposal to employee
1250,check booking proposal
1250,transform price inquiry to travel request
1250,decide on approval requirements
1250,check if booking is necessary
1250,prepare booking proposal
1250,send booking proposal to employee
1250,check booking proposal
1250,book travel
1250,check if expense documents exist
1250,upload travel expense documents
1250,file travel expense report
1250,confirm travel expense report
1250,decide on travel expense approval
1250,send original documents to archive
1250,calculate payments
1250,pay expenses
1253,send booking proposal to employee
1253,check booking proposal
1253,check if price inquiry is still needed and up to date
1253,request update of the booking proposal
1253,prepare booking proposal
1253,send booking proposal to employee
1253,check booking proposal
1253,transform price inquiry to travel request
1253,decide on approval requirements
1253,check if booking is necessary
1253,prepare booking proposal
1253,send booking proposal to employee
1253,check booking proposal
1253,check if travel request is still needed and up to date
1253,request update of the booking proposal
1253,prepare booking proposal
1253,send booking proposal to employee
1253,check booking proposal
1253,book travel
1253,check if expense documents exist
1253,upload travel expense documents
1253,file travel expense report
1253,confirm travel expense report
1253,decide on travel expense approval
1253,send original documents to archive
1253,calculate payments
1253,pay expenses
1258,check if expense documents exist
1258,file travel expense report
1258,confirm travel expense report
1258,decide on travel expense approval
1258,send original documents to archive
1258,calculate payments
1258,pay expenses
1265,request update of the booking proposal
1265,prepare booking proposal
1265,send booking proposal to employee
1265,check booking proposal
1265,check if travel request is still needed and up to date
1265,request update of the booking proposal
1265,prepare booking proposal
1265,send booking proposal to employee
1265,check booking proposal
1265,book travel
1265,check if expense documents exist
1265,upload travel expense documents
1265,file travel expense report
1265,confirm travel expense report
1265,decide on travel expense approval
1265,calculate payments
1265,send original documents to archive
1265,pay expenses
1325,check if price inquiry is still needed and up to date
1325,request update of the booking proposal
1325,prepare booking proposal
1325,send booking proposal to employee
1325,check booking proposal
1325,transform price inquiry to travel request
1325,decide on approval requirements
1325,check if booking is necessary
1325,prepare booking proposal
1325,send booking proposal to employee
1325,check booking proposal
1325,check if travel request is still needed and up to date
1325,request update of the booking proposal
1325,prepare booking proposal
1325,send booking proposal to employee
1325,check booking proposal
1325,book travel
1325,check if expense documents exist
1325,upload travel expense documents
1325,file travel expense report
1325,confirm travel expense report
1325,decide on travel expense approval
1325,send original documents to archive
1325,calculate payments
1325,pay expenses
1338,check booking proposal
1338,transform price inquiry to travel request
1338,decide on approval requirements
1338,check if booking is necessary
1338,prepare booking proposal
1338,send booking proposal to employee
1338,check booking proposal
1338,book travel
1338,check if expense documents exist
1338,upload travel expense documents
1338,file travel expense report
1338,confirm travel expense report
1338,decide on travel expense approval
1338,send original documents to archive
1338,calculate payments
1338,pay expenses
1339,check booking proposal
1339,check if price inquiry is still needed and up to date
1339,request update of the booking proposal
1339,prepare booking proposal
1339,send booking proposal to employee
1339,check booking proposal
1339,check if price inquiry is still needed and up to date
1339,request update of the booking proposal
1339,prepare booking proposal
1339,send booking proposal to employee
1339,check booking proposal
1339,check if price inquiry is still needed and up to date
1339,request update of the booking proposal
1339,prepare booking proposal
1339,send booking proposal to employee
1339,check booking proposal
1339,transform price inquiry to travel request
1339,decide on approval requirements
1339,check if booking is necessary
1339,prepare booking proposal
1339,send booking proposal to employee
1339,check booking proposal
1339,book travel
1339,check if expense documents exist
1339,upload travel expense documents
1339,file travel expense report
1339,confirm travel expense report
1339,decide on travel expense approval
1339,send original documents to archive
1339,calculate payments
1339,pay expenses
1346,check booking proposal
1346,check if price inquiry is still needed and up to date
1346,request update of the booking proposal
1346,prepare booking proposal
1346,send booking proposal to employee
1346,check booking proposal
1346,check if price inquiry is still needed and up to date
1346,request update of the booking proposal
1346,prepare booking proposal
1346,send booking proposal to employee
1346,check booking proposal
1346,transform price inquiry to travel request
1346,decide on approval requirements
1346,check if booking is necessary
1346,prepare booking proposal
1346,send booking proposal to employee
1346,check booking proposal
1346,book travel
1346,check if expense documents exist
1346,upload travel expense documents
1346,file travel expense report
1346,confirm travel expense report
1346,decide on travel expense approval
1346,send request for travel expense correction
1346,correct travel expense report
1346,decide on travel expense approval
1346,send request for travel expense correction
1346,correct travel expense report
1346,decide on travel expense approval
1346,send original documents to archive
1346,calculate payments
1346,pay expenses
1350,check booking proposal
1350,transform price inquiry to travel request
1350,decide on approval requirements
1350,check if booking is necessary
1350,prepare booking proposal
1350,send booking proposal to employee
1350,check booking proposal
1350,check if travel request is still needed and up to date
1350,request update of the booking proposal
1350,prepare booking proposal
1350,send booking proposal to employee
1350,check booking proposal
1350,book travel
1350,check if expense documents exist
1350,upload travel expense documents
1350,file travel expense report
1350,confirm travel expense report
1350,decide on travel expense approval
1350,send request for travel expense correction
1350,correct travel expense report
1350,decide on travel expense approval
1350,send original documents to archive
1350,calculate payments
1350,pay expenses
1382,check booking proposal
1382,check if price inquiry is still needed and up to date
