Dataset,Sampling Method,SampleSize,Accuracy,Example Leakage,Running_Time,F1_Score,Precisions,Recalls,FeatureEncoder_Time,TruePositive,FalsePositive,FalseNegative,TrueNegative
bpicc2012,none,100,0.8529163303234527,0.795359402278999,2350.717802286148,0.8336957773226585,0.8339939211384574,0.8529163303234527,0.18862509727478027,45434,7835,7835,1217352
bpic2012,relevance,30,0.8690513081588384,0.733100181504272,406.6496946811676,0.8448828851624441,0.849557760638136,0.8690513081588384,11797.060910463333,19631,2958,2958,494000
bpic2012,relevance,50,0.8629322195199324,0.7436819287300412,1897.8313672542572,0.8382651612819176,0.8423074444178555,0.8629322195199324,15395.340351581573,32643,5185,5185,864859
bpic2012,relevance,70,0.8601088265465412,0.7833950314437358,824.7377495765686,0.8340851498644224,0.846747887086165,0.8601088265465412,24816.69211411476,38569,6273,6273,1025093
bpic2012,random,70,0.8554998132038213,0.7816886374553024,668.0870156288147,0.8297488642742039,0.8517542124596049,0.8554998132038213,0.3731551170349121,32059,5415,5415,819013
bpic2012,random,50,0.8515249692771757,0.7636018321975199,475.0551779270172,0.8283887967659859,0.8362231072168075,0.8515249692771757,0.2823019027709961,22866,3987,3987,613632
bpic2012,random,30,0.8510153605831815,0.751822442072377,814.1669571399689,0.8186675796326471,0.8332162062372072,0.8510153605831815,0.20380902290344238,13075,2289,2289,335719
bpic2012,random,10,0.8286362776621903,0.7011537734064687,255.1007034778595,0.7819554989306208,0.7562775066252507,0.8286362776621903,0.2955505847930908,4381,906,906,115408
bpic2012,variant,70,0.8724279835390947,0.6905119033883312,523.049558877945,0.8480841726267779,0.8430547176955645,0.8724279835390947,3.666548490524292,22684,3317,3317,568705
bpic2012,variant,50,0.8712741003489902,0.7021568739630414,315.61214208602905,0.8513707670568856,0.8515293124688507,0.8712741003489902,2.6664016246795654,15229,2250,2250,399767
bpic2012,variant,30,0.8628280303758531,0.6660578679227146,165.08442091941833,0.8387348387328816,0.828779331435731,0.8628280303758531,1.8198084831237793,8976,1427,1427,237842
bpic2012,variant,10,0.8062760166506564,0.6567403138008325,42.008365869522095,0.7607692111641079,0.7408767085110716,0.8062760166506564,0.6332175731658936,2518,605,605,68101
